model_name,AA Intelligence Index,AA Long Context Reasoning,AIME 2024,AIME 2025,AIME 2026,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,BigCodeBench,BrowseComp,BRUMO 2025,Chatbot Arena Elo,CMIMC 2025,Codeforces Rating,CritPt,FrontierMath,GDP-Val AA,GPQA Diamond,GSM8K,HLE (Humanity's Last Exam),HMMT Feb 2025,HMMT Nov 2025,HumanEval,IFBench,IFEval,IMO 2025,LiveBench,LiveCodeBench,MATH-500,MathArena Apex 2025,MathVision,MMLU,MMLU-Pro,MMMU,MMMU-Pro,MRCR v2,OSWorld,SciCode,SimpleBench,SimpleQA,SMT 2025,SWE-bench Pro,SWE-bench Verified,Tau-Bench Retail,Tau-Bench Telecom,Terminal-Bench 2.0,Terminal-Bench 1.0,USAMO 2025,Video-MMU
Grok 4,73.0,68.0,94.0,90.6,,66.6,15.9,,,,95.0,1465.0,83.75,2708.0,,13.0,,88.0,,24.0,90.0,88.33,88.0,,89.2,11.9,,79.4,98.0,2.08,,94.0,87.0,75.0,59.2,,48.0,,,48.0,85.85,46.5,73.5,,,23.1,39.0,61.9,
Grok 4.1,,,,94.0,,,42.0,,,,97.5,1483.0,84.38,2650.0,,38.0,,91.0,,44.4,,93.33,95.0,,91.0,,60.0,82.0,98.5,5.21,,,85.3,,81.0,,52.0,,,55.0,84.6,,79.0,,,,,,87.6
InternLM3-8B-Instruct,,,12.0,,,,,,,,,,,,,,,37.4,,,,,82.3,,79.3,,,32.0,83.0,,,76.6,52.0,,,,,,,,,,,,,,,,
Kimi K2,,,69.6,49.5,,,,54.5,,,,,,1780.0,,,,75.1,,4.7,38.8,,85.0,,89.8,,,53.7,97.4,,,89.5,87.1,,,,38.0,,,31.0,,27.67,65.8,,,27.8,,,
Kimi K2 Thinking,,,94.0,94.5,,12.0,,,,60.2,93.33,,91.88,2150.0,,,,85.7,,44.9,89.4,89.17,92.0,,,,,82.6,97.0,0.0,,,84.6,,,,,,,35.0,91.04,,71.3,,,35.7,,,
Kimi K2.5,,,96.1,96.0,,65.3,35.0,,,74.9,98.33,,91.25,2350.0,,28.0,,87.6,,50.2,95.4,89.17,95.0,,90.0,,,85.0,98.0,8.85,84.2,92.0,87.1,84.0,78.5,,62.0,,,45.0,90.57,,76.8,,,43.2,,,86.6
LFM2.5-1.2B-Thinking,,,,31.73,,,,,,,,,,,,,,37.86,,,,,55.0,,88.42,,,22.0,87.96,,,52.0,49.65,,,,,,,,,,,,,,,,
Llama 4 Behemoth,,,72.0,,,,,,,,,,,,,,,73.7,,,,,85.0,,86.0,,,49.4,95.0,,,90.2,82.2,76.1,,,,,,44.0,,,55.0,,,,,,
Llama 4 Maverick,,,52.0,,,4.4,0.0,73.5,49.7,,,1417.0,,,0.0,,,69.8,,,,,82.0,,84.0,,,43.4,88.1,,,88.6,80.5,73.4,,,,,,20.0,,,46.5,,,,15.5,,
Llama 4 Scout,,,,,,0.5,0.0,72.0,,,,1350.0,,,,,,57.2,90.6,,,,76.0,,81.0,,,32.8,83.0,,,88.5,74.3,69.4,,,,,,,,,,,,,,,
MiniMax-M2,61.0,,65.0,78.3,,,,,,44.0,,1408.0,,1700.0,,,,78.0,,12.5,,,90.0,,88.0,,,83.0,97.0,,,87.0,82.0,75.0,,,,,,40.0,,32.0,69.4,,,30.0,42.0,,
Mistral Large 3,,,53.3,85.0,,,,,,,,1418.0,,1550.0,,,,43.9,,,,,92.0,,86.0,,,66.0,93.6,,,85.5,73.11,,,,,,,30.0,,,68.0,,,,,,
Mistral Medium 3,,,,,,,,97.1,,,,,,,,,,68.0,,,,,92.1,,86.0,,,42.0,91.0,,,87.0,72.0,,,,,,,25.0,,,32.0,,,,,,
Mistral Small 3.1,,,22.0,,,,,,,,,,,,,,,39.0,,,,,88.99,,82.75,,,30.0,81.0,,,80.62,66.76,,,,,,,18.0,,,28.0,,,,,,
Nemotron Ultra 253B,,,,72.5,,,,92.7,,,,,,1750.0,,,,76.01,,15.0,,,92.0,,89.45,,,66.31,97.0,,,87.0,76.0,,,,,,,35.0,,,48.0,,,,,,
o3 (high),,69.0,96.7,88.9,,75.7,6.5,85.9,,49.7,95.83,,79.38,2706.0,1.4,10.0,,87.7,,19.78,77.5,,88.4,69.3,92.1,16.67,,75.8,99.2,,,93.3,85.9,80.1,75.0,,,,,48.6,87.74,,69.1,,,,30.2,21.9,
o3-mini (high),,,87.3,86.5,,34.5,3.0,43.0,,,,1364.0,,2130.0,,11.0,,79.7,,13.0,50.0,,97.6,,88.0,,,74.1,97.9,,,86.9,80.0,,,,,,,13.8,,,49.3,,,,,2.08,
o4-mini (high),,,93.4,92.7,,58.7,6.1,79.1,,,86.67,,84.38,2719.0,0.6,17.0,,81.4,,18.9,66.7,,98.5,,92.4,14.29,,80.2,98.2,,,90.3,81.9,79.7,,,,,,19.3,88.68,,68.1,,,,18.5,19.3,
OLMo 2 13B,,,5.0,,,,,,,,,,,,,,,25.0,,,,,55.0,,68.0,,,18.0,38.0,,,67.5,35.1,,,,,,,,,,,,,,,,
Phi-4,,,18.0,,,,,75.4,45.5,,,,,,,,,56.1,,,,,82.6,,79.3,,,38.5,80.4,,,84.8,68.0,,,,,,,15.0,,,,,,,,,
Phi-4-mini,,,,,,,,,,,,,,,,,,30.4,88.6,,,,74.4,,72.0,,,28.0,75.0,,,67.3,52.8,,,,,,,,,,,,,,,,
Phi-4-reasoning,,,,71.4,,,,,,,,,,,,,,63.4,,,,,,,,,,53.8,95.0,,,,,,,,,,,,,,,,,,,,
Phi-4-reasoning-plus,,,70.0,77.7,,,,79.0,,,,,,1500.0,,,,69.3,,,53.6,,88.0,,82.0,,,68.8,96.4,,,,72.0,,,,,,,,,,32.0,,,,,,
Qwen3-0.6B,,,10.7,15.1,,,,8.5,,,,,,800.0,,,,27.9,59.59,,,,45.0,,59.2,,,12.3,77.6,,,52.81,24.74,,,,,,,,,,,,,,,,
Qwen3-1.7B,,,48.3,36.8,,,,43.1,,,,,,1200.0,,,,40.1,75.44,,,,60.0,,72.5,,,33.2,93.4,,,61.815,36.76,,,,,,,,,,,,,,,,
Qwen3-14B,,,75.0,72.0,,,,85.5,,,,,,1900.0,,,,64.0,92.49,,,,85.0,,,,,55.0,95.0,,,81.05,61.03,,,,,,,,,,,,,,,,
Qwen3-235B-A22B,,67.0,85.7,81.5,,11.0,1.3,95.6,,,,1410.0,,2056.0,,,,71.1,94.39,15.43,62.5,,90.0,,87.8,,,70.7,98.2,5.21,,87.81,79.8,,,,,,,13.2,,,69.6,,,,6.6,,
Qwen3-30B-A3B,,,78.0,85.0,,,,91.0,,,,,,1974.0,,,,65.8,91.81,,71.4,,82.0,,88.9,,,66.0,96.0,,,81.38,80.9,,,,,,,,,,,,,,,,
Qwen3-32B,,,81.4,76.67,,,,53.3,,,,,,2020.0,,,,68.4,93.4,,,,85.0,37.3,83.0,,,63.0,96.0,,,83.61,70.0,,,,,,,,,,,,,,15.5,,
Qwen3-4B,,,73.8,65.6,,,,13.2,,,,,,1671.0,,,,51.2,87.79,,55.5,,75.0,,87.4,,,55.2,97.0,,,72.99,74.0,,,,,,,,,,,,,,,,
Qwen3-8B,,,76.0,67.3,,,,76.0,,,,,,1850.0,,,,63.3,89.84,,,,82.0,35.0,80.0,,,48.0,94.0,,,76.89,56.73,,,,,,,,,,,,,,,,
Qwen3.5-397B-A17B,,,94.0,95.0,91.3,,,,,,,,,2200.0,,,,88.4,,32.0,,,92.0,76.5,92.6,,,83.6,98.0,,90.3,88.6,87.8,85.0,,,,,,35.0,,,76.4,,,,,,
QwQ-32B,,,79.5,50.0,,,,60.9,44.6,,,,,1316.0,,,,65.2,,,47.5,,78.0,,80.0,,,50.0,90.6,,,79.0,62.0,,,,,,,,,,35.0,,,,,,
Seed-Thinking-v1.5,,,86.7,74.0,,,,,,,,,,,,,,77.3,,22.0,,,90.0,,87.4,,,64.9,95.0,,,87.0,87.0,,,,,,,35.0,,,52.0,,,,,,
