model_name,AIME 2024,AIME 2025,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,Chatbot Arena Elo,Codeforces Rating,FrontierMath,GPQA Diamond,HLE (Humanity's Last Exam),HMMT Feb 2025,HumanEval,IFEval,LiveCodeBench,MATH-500,MMLU,MMLU-Pro,MMMU,SimpleQA,SWE-bench Verified,Terminal-Bench 2.0
DeepSeek-R1,79.8,70.0,15.0,1.3,92.3,1382.0,2029.0,,71.5,8.5,41.7,96.1,83.3,65.9,97.3,90.8,84.0,,30.1,49.2,
DeepSeek-R1-0528,91.4,87.5,21.2,1.1,,1420.0,1930.0,10.0,81.0,17.7,79.4,85.6,79.1,73.1,97.3,90.8,85.0,,27.8,57.6,
DeepSeek-R1-Distill-Llama-70B,70.0,70.0,,,,,1633.0,,65.2,,33.3,80.0,,57.5,94.5,86.0,,,,,
DeepSeek-R1-Distill-Llama-8B,50.4,27.8,,,17.6,,1205.0,,49.0,,,,59.0,41.05,89.1,,,,,,
DeepSeek-R1-Distill-Qwen-1.5B,28.9,22.8,,,4.5,,954.0,,33.8,,,,39.9,15.049999999999999,83.9,,,,,,
DeepSeek-V3,39.2,39.2,,,85.5,1382.0,1134.0,,59.1,,,65.2,86.1,39.2,90.2,88.5,75.9,,24.9,42.0,
DeepSeek-V3-0324,59.4,46.7,,,39.9,,1650.0,,68.4,5.2,27.5,85.0,81.1,49.2,94.0,89.4,81.2,,27.7,38.8,
DeepSeek-V3.2,93.0,93.1,,,,,2386.0,8.0,82.4,25.1,92.5,90.0,89.0,83.3,97.3,90.5,85.0,,35.0,73.0,39.6
DeepSeek-V3.2-Speciale,96.0,96.0,,,,,2701.0,,85.7,30.6,99.2,91.5,88.0,88.7,98.0,,87.5,,,76.0,
Doubao Seed 2.0 Pro,98.3,98.3,,,,,3020.0,,88.9,40.0,,92.0,88.5,88.0,,90.0,88.0,85.4,,76.5,55.8
EXAONE 4.0 32B,72.1,85.3,,,80.0,,1650.0,,75.4,,72.9,90.2,88.0,72.6,96.4,84.0,81.8,,30.0,45.0,
Falcon3-10B-Instruct,8.0,,,,,,,,30.0,,,72.0,78.17,22.0,62.0,73.1,42.5,,,,
Gemini 2.0 Flash,73.3,,,1.0,50.0,,,,74.2,,,82.6,80.0,45.2,83.9,76.4,76.4,70.7,27.0,42.0,
Gemini 2.5 Flash,88.0,72.0,33.3,2.5,83.9,,1995.0,,78.3,15.6,64.2,90.2,84.3,63.9,95.2,85.0,81.1,73.5,28.1,63.8,16.9
Gemini 2.5 Pro,92.0,86.7,41.0,4.9,90.8,1437.0,2001.0,5.0,84.0,18.8,82.5,,90.8,70.4,97.3,89.8,85.6,81.7,52.9,63.8,32.6
Gemini 3 Flash,93.0,90.4,84.7,33.6,,1473.0,2100.0,30.0,90.4,33.7,,,88.2,90.8,,91.8,88.59,87.63,60.0,78.0,51.7
Gemini 3 Pro,97.0,95.0,75.0,31.1,,1501.0,2512.0,38.0,91.9,37.5,97.5,93.0,90.0,79.7,97.3,91.8,89.8,87.51,72.1,76.2,56.9
Gemini 3.1 Pro,98.0,100.0,90.0,77.1,,1490.0,2700.0,40.0,94.3,44.4,,95.0,89.2,82.0,98.5,92.6,89.5,87.5,72.1,80.6,68.5
Gemma 3 27B,22.0,,,,69.9,1338.0,,,42.4,,,87.8,78.0,29.7,78.0,76.9,67.5,,22.0,32.0,
GLM-4.6,,80.0,,,,,,,85.7,24.8,,82.0,82.0,70.0,,85.0,80.0,,,68.0,24.5
GLM-4.7,,95.7,,,,1445.0,,20.0,85.7,42.8,97.1,,,84.9,,90.1,86.0,,32.0,73.8,33.4
GPT-4.1,46.5,46.4,5.5,0.4,61.5,,1807.0,,66.3,3.7,19.4,92.0,87.4,44.7,92.4,90.2,81.8,74.8,42.3,54.6,
GPT-4.1 mini,,,3.5,0.0,28.2,,,,55.0,,,90.0,84.1,,,86.0,,71.1,20.0,,
GPT-4.5,36.7,,10.3,0.8,51.4,,,,71.4,,,86.6,86.5,,,89.6,74.3,,62.5,38.0,
GPT-5,94.6,94.6,65.7,9.9,,1460.0,2537.0,25.2,88.4,35.2,88.3,94.0,90.0,84.5,99.4,91.0,87.0,84.2,55.0,74.9,35.2
GPT-5.1,,94.0,72.8,17.6,,1464.0,,31.0,88.1,32.0,,,,82.0,99.0,90.0,87.5,84.2,55.0,76.3,47.6
GPT-5.2,100.0,100.0,90.5,52.9,,1440.0,2800.0,40.3,93.2,35.2,99.4,95.0,95.0,80.0,99.4,88.0,86.7,86.67,58.0,80.0,54.0
GPT-5.3-Codex,,94.0,,,,,,,81.0,,,93.0,92.0,85.0,96.0,94.0,,84.0,,56.8,64.7
gpt-oss-120B,96.6,97.9,,,,,2620.0,,80.9,,,92.0,88.0,75.0,98.0,90.0,90.0,,,62.4,18.7
gpt-oss-20B,98.7,98.7,,,,,1985.0,,71.5,,,85.0,85.0,70.0,97.0,85.3,85.3,,,52.0,3.1
Grok 3 Beta,93.3,93.3,5.5,0.0,,1402.0,,,84.6,18.2,,87.3,84.0,79.4,99.2,88.0,79.9,,31.0,48.5,
Grok 4,94.0,90.6,66.6,15.9,,1465.0,2708.0,13.0,88.0,24.0,90.0,88.0,89.2,79.4,98.0,94.0,87.0,75.0,48.0,73.5,23.1
Grok 4.1,,94.0,,42.0,,1483.0,2650.0,38.0,91.0,44.4,,95.0,91.0,82.0,98.5,,85.3,,55.0,79.0,
InternLM3-8B-Instruct,12.0,,,,,,,,37.4,,,82.3,79.3,32.0,83.0,76.6,52.0,,,,
Kimi K2,69.6,49.5,,,54.5,,1780.0,,75.1,4.7,38.8,85.0,89.8,53.7,97.4,89.5,87.1,,31.0,65.8,27.8
Kimi K2 Thinking,94.0,94.5,12.0,,,,2150.0,,85.7,44.9,89.4,92.0,,82.6,97.0,,84.6,,35.0,71.3,35.7
Kimi K2.5,96.1,96.0,65.3,35.0,,,2350.0,28.0,87.6,50.2,95.4,95.0,90.0,85.0,98.0,92.0,87.1,84.0,45.0,76.8,43.2
LFM2.5-1.2B-Thinking,,31.73,,,,,,,37.86,,,55.0,88.42,22.0,87.96,52.0,49.65,,,,
Llama 4 Behemoth,72.0,,,,,,,,73.7,,,85.0,86.0,49.4,95.0,90.2,82.2,76.1,44.0,55.0,
Llama 4 Maverick,52.0,,4.4,0.0,73.5,1417.0,,,69.8,,,82.0,84.0,43.4,88.1,88.6,80.5,73.4,20.0,46.5,
Llama 4 Scout,,,0.5,0.0,72.0,1350.0,,,57.2,,,76.0,81.0,32.8,83.0,88.5,74.3,69.4,,,
MiniMax-M2,65.0,78.3,,,,1408.0,1700.0,,78.0,12.5,,90.0,88.0,83.0,97.0,87.0,82.0,75.0,40.0,69.4,30.0
Mistral Large 3,53.3,85.0,,,,1418.0,1550.0,,43.9,,,92.0,86.0,66.0,93.6,85.5,73.11,,30.0,68.0,
Mistral Medium 3,,,,,97.1,,,,68.0,,,92.1,86.0,42.0,91.0,87.0,72.0,,25.0,32.0,
Mistral Small 3.1,22.0,,,,,,,,39.0,,,88.99,82.75,30.0,81.0,80.62,66.76,,18.0,28.0,
Nemotron Ultra 253B,,72.5,,,92.7,,1750.0,,76.01,15.0,,92.0,89.45,66.31,97.0,87.0,76.0,,35.0,48.0,
o3 (high),96.7,88.9,75.7,6.5,85.9,,2706.0,10.0,87.7,19.78,77.5,88.4,92.1,75.8,99.2,93.3,85.9,80.1,48.6,69.1,
o3-mini (high),87.3,86.5,34.5,3.0,43.0,1364.0,2130.0,11.0,79.7,13.0,50.0,97.6,88.0,74.1,97.9,86.9,80.0,,13.8,49.3,
o4-mini (high),93.4,92.7,58.7,6.1,79.1,,2719.0,17.0,81.4,18.9,66.7,98.5,92.4,80.2,98.2,90.3,81.9,79.7,19.3,68.1,
OLMo 2 13B,5.0,,,,,,,,25.0,,,55.0,68.0,18.0,38.0,67.5,35.1,,,,
Phi-4,18.0,,,,75.4,,,,56.1,,,82.6,79.3,38.5,80.4,84.8,68.0,,15.0,,
Phi-4-reasoning-plus,70.0,77.7,,,79.0,,1500.0,,69.3,,53.6,88.0,82.0,68.8,96.4,,72.0,,,32.0,
Qwen3-0.6B,10.7,15.1,,,8.5,,800.0,,27.9,,,45.0,59.2,12.3,77.6,52.81,24.74,,,,
Qwen3-1.7B,48.3,36.8,,,43.1,,1200.0,,40.1,,,60.0,72.5,33.2,93.4,61.815,36.76,,,,
Qwen3-14B,75.0,72.0,,,85.5,,1900.0,,64.0,,,85.0,,55.0,95.0,81.05,61.03,,,,
Qwen3-235B-A22B,85.7,81.5,11.0,1.3,95.6,1410.0,2056.0,,71.1,15.43,62.5,90.0,87.8,70.7,98.2,87.81,79.8,,13.2,69.6,
Qwen3-30B-A3B,78.0,85.0,,,91.0,,1974.0,,65.8,,71.4,82.0,88.9,66.0,96.0,81.38,80.9,,,,
Qwen3-32B,81.4,76.67,,,53.3,,2020.0,,68.4,,,85.0,83.0,63.0,96.0,83.61,70.0,,,,
Qwen3-4B,73.8,65.6,,,13.2,,1671.0,,51.2,,55.5,75.0,87.4,55.2,97.0,72.99,74.0,,,,
Qwen3-8B,76.0,67.3,,,76.0,,1850.0,,63.3,,,82.0,80.0,48.0,94.0,76.89,56.73,,,,
Qwen3.5-397B-A17B,94.0,95.0,,,,,2200.0,,88.4,32.0,,92.0,92.6,83.6,98.0,88.6,87.8,85.0,35.0,76.4,
QwQ-32B,79.5,50.0,,,60.9,,1316.0,,65.2,,47.5,78.0,80.0,50.0,90.6,79.0,62.0,,,35.0,
Seed-Thinking-v1.5,86.7,74.0,,,,,,,77.3,22.0,,90.0,87.4,64.9,95.0,87.0,87.0,,35.0,52.0,
