model_name,AA Intelligence Index,AA Long Context Reasoning,AIME 2024,AIME 2025,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,BigCodeBench,BrowseComp,BRUMO 2025,Chatbot Arena Elo,CMIMC 2025,Codeforces Rating,CritPt,FrontierMath,GPQA Diamond,GSM8K,HLE (Humanity's Last Exam),HMMT Feb 2025,HMMT Nov 2025,HumanEval,IFBench,IFEval,IMO 2025,LiveBench,LiveCodeBench,MATH-500,MathArena Apex 2025,MMLU,MMLU-Pro,MMMU,MMMU-Pro,MRCR v2,OSWorld,SimpleBench,SimpleQA,SMT 2025,SWE-bench Pro,SWE-bench Verified,Tau-Bench Retail,Tau-Bench Telecom,Terminal-Bench 2.0,Terminal-Bench 1.0,USAMO 2025,Video-MMU
Claude Sonnet 4.6,51.0,72.17915072049418,102.81259632970848,97.0,55.0,60.4,115.5090875119653,46.670332843624415,78.0,94.53936574569586,1387.9447312312311,84.21426304619553,2010.0,12.426621059935105,35.0,74.1,98.2832284475144,38.0,104.5541681780315,84.74464499382879,93.0,72.13068044465587,92.0,56.41411135668907,64.76143969553034,74.0,96.5,12.13338997508219,90.0,80.0,74.2,74.5,82.0,72.5,61.1652897310581,68.0,88.51523801918218,48.2,79.6,89.0,97.0,59.1,49.17487402636046,41.10504262893099,74.1196199383538
Command A,77.64850407539761,64.18716036930077,30.0,57.21863770336381,3.17820403963377,-10.063924942951928,72.0,33.8,28.846015272355697,70.95658221008726,1374.7072220172656,53.031212371647285,1973.7138794703735,-6.157990806383509,-9.303840200095845,45.0,90.84978015269742,-0.17355767883197237,20.057376945943783,74.25530111724338,82.9,28.12410757417647,84.3,-13.010852992052452,42.053588173587436,28.0,80.0,-11.787573907566264,85.5,63.5,67.49643047707646,66.40546754225615,89.43712292791031,19.308002841058993,60.43494968116224,32.0,63.46754117884844,25.786367773834467,38.0,70.24660762262369,61.749844657834835,4.293620066323509,9.749622087455318,-2.2607785409139205,87.83897024453344
DeepSeek-R1,69.62924958898867,67.02654590846576,79.8,70.0,15.0,1.3,92.3,44.248882881799645,43.257700975498636,80.83,1382.0,63.98585187768227,2029.0,1.1,4.396759961458435,71.5,97.3,8.5,41.7,78.37677402085214,96.1,38.0,83.3,9.708149517756565,50.00593184570256,65.9,97.3,-3.77953479465291,90.8,84.0,72.08693535199714,69.53289356833511,80.42204406130129,33.483472073469734,61.2844696059288,30.1,66.51,32.67353188922017,49.2,75.42135980130293,73.16038785677331,20.42928010344706,5.7,4.76,84.26702551699685
DeepSeek-R1-0528,63.85928254735795,70.84792946851792,91.4,87.5,21.2,1.1,85.44744835366701,46.99497454124754,52.005467910332534,92.5,1420.0,69.38,1930.0,3.851660772819733,10.0,81.0,96.00875164315718,17.7,79.4,81.02821024373037,85.6,50.03172561171724,79.1,6.85,54.58985227686192,73.1,97.3,1.04,90.8,85.0,76.29687184795678,72.96905351416093,68.49749826652956,45.03681401298091,61.479627181410244,27.8,83.02,36.14196568782895,57.6,81.55589156912343,81.20619763934671,31.485035851254086,33.159962432970474,30.06,81.13934325725174
DeepSeek-R1-Distill-Llama-70B,69.38432828428199,71.44767505643699,70.0,70.0,7.754083772162556,-6.217233522846861,66.64752712394142,49.08786724210586,38.172790403295565,78.83159741758031,1455.1716209933984,57.86565966115848,1633.0,-1.3357268499700181,-2.9441640937158335,65.2,91.98744379651384,8.227497461421601,33.3,76.92375452150748,80.0,30.438259317261508,83.95168330505463,4.604125938665576,46.366301470918856,57.5,94.5,-9.197959160598117,86.0,74.22293859189237,74.03087764900555,72.29694070395219,65.12972748825239,36.67462939459111,59.73391743154258,28.12178286839719,71.20363050850473,28.204172859630543,50.052377114703766,81.48080722155655,71.9807974382739,18.39147815340235,26.912054889914337,0.42570996621242235,82.28710916867674
DeepSeek-R1-Distill-Llama-8B,75.86530979879196,65.91964745172932,50.4,27.8,-36.76732247796765,-34.841199442753634,17.6,47.426173258751405,12.860125409411237,62.368706829380784,1392.856679545222,35.393420133310116,1205.0,-10.303234768742197,-26.154130163376813,49.0,80.32691733114933,-12.721149797977644,-6.786839490366621,65.56971697410398,74.10828799993612,-0.7378209743446335,59.0,-29.984331421062954,30.29138413448396,41.05,89.1,-23.014402373085296,76.7383935218302,59.7712691225863,64.3740977914864,65.26944232600263,63.6778099055791,17.036072200876728,53.86281643751007,8.691936859387162,54.22655816555911,14.190810789172971,28.98786446442486,73.17534480763433,51.14390834104438,-6.108733603934937,11.006392927476629,-27.594340259997413,80.78145915788289
DeepSeek-R1-Distill-Qwen-1.5B,77.58844876886816,61.304552959945354,28.9,22.8,-59.529091264996026,-49.218462039540896,4.5,45.32057734761883,-0.9870744600418302,52.03840559833165,1325.2213684848848,22.571343384469273,954.0,-14.872597283795331,-37.9076765928096,33.8,72.2023120573853,-23.628505271828757,-31.45194903752715,57.94110389571089,66.64313122628324,-17.26591401055045,39.9,-47.8297165169614,20.987894957405434,15.049999999999999,83.9,-29.815280284323606,70.17572463528015,50.55946353326701,57.61935813495262,59.894826819757064,61.71586142080736,5.981820528491344,49.46704255988276,-1.911308142629824,43.82170240269768,6.393030576836253,17.011203727596627,66.85913298400854,38.73392530858239,-19.135804168162192,2.077303068693092,-41.80986686116723,78.11810170493622
DeepSeek-R1-Distill-Qwen-14B,65.12152654421534,70.47467184277309,69.7,63.13988341282692,7.283998482392938,-5.903625466849708,67.85934137525565,48.738296846046254,38.308554578363285,77.4259377183053,1420.6961267231893,56.30737833755916,1481.0,-0.39476513234883776,-1.9901426242125824,59.1,88.64104750720853,9.336320792169598,41.4856653062654,74.48941851306647,82.6584043030809,29.004285628405594,81.74527871617678,7.650089538819751,45.27845815593253,53.1,93.9,-8.650374946488377,83.68321805632071,73.19933404783036,72.67282294037409,70.92307351775321,56.954798757668534,38.94950839095469,57.26591295401508,28.3124802568256,70.02198895980665,27.370867410886426,49.74479476473492,81.0193837934121,71.25614460828655,20.39667969477257,29.594283884786815,0.24252158432081306,77.98143649631919
DeepSeek-R1-Distill-Qwen-32B,65.08188445012837,70.11929246133285,72.6,72.6,19.460730751280504,1.7259792196270125,73.9630397366713,47.582500188031005,43.45049028699377,80.17551636365137,1415.3669215679772,61.678779023460685,1691.0,1.0826154098845493,3.3745675576006096,62.1,91.6142321019361,13.479956322586926,50.36792488169763,77.02377450490867,82.0,37.69097641854787,83.06894812284519,13.571524650136103,48.89267011072062,57.2,94.3,-5.136358075830182,84.49425590799892,75.18956602705408,73.7317104280598,71.36003338506623,63.34664405832557,40.36839490227929,59.04934576382907,32.21561334112322,72.98035818050418,30.891036689830674,53.732522351776396,80.4698789362361,74.74130872171442,24.143851904663485,29.970429521497977,7.966263230956689,79.6200283523202
DeepSeek-R1-Distill-Qwen-7B,69.84198563197708,69.627017177309,55.5,48.73928215785992,-21.12128463221431,-24.30345598705624,47.785449209014395,49.71776194361977,23.95799297902983,69.6590649382301,1426.5958992967946,43.6398646478575,1189.0,-5.614289955459871,-16.38430135119272,49.1,83.3601929872842,-3.0031367145378454,14.82836389717214,69.27139077035693,78.53350971922185,9.585665206851056,78.62383412378097,-12.391336990643277,36.462180554317726,37.6,92.8,-17.573663997331874,80.9238803023042,66.7411512885091,69.06727328134708,68.90966453859465,54.00725910073555,29.470659563369477,54.74361590827878,17.29589404002791,61.712988679528145,19.194226517138127,38.38535639571533,79.17035986998812,60.79457236025356,6.802739815697436,22.303801437743065,-17.770344729702476,78.16092787660651
DeepSeek-V3,61.886462517181464,69.0108672974421,39.2,39.2,-7.410717817084593,-14.618764086885824,85.5,50.0,31.53881949617593,71.96788262029627,1382.0,48.12398176708895,1134.0,-1.6939095386911187,-7.825771219117161,59.1,89.3,4.778001470891087,31.064102045521242,68.87272448197659,65.2,17.53241215396734,86.1,1.9222329298382066,39.60353311829158,39.2,90.2,-12.358635981453562,88.5,75.9,69.32320301860636,68.33379369647906,44.522799320798136,37.529369310302656,52.86843981137663,24.9,64.57179102451917,22.288195575104545,42.0,79.80382642521474,65.37039982786759,16.49070447745837,29.77875465347743,-8.936460755077464,72.48960489630409
DeepSeek-V3-0324,76.66140830903318,71.7270369801272,59.4,46.7,-7.017682561466333,-16.465152154199068,39.9,49.73417282724549,30.044991573298464,75.86418690816807,1491.09790616263,52.574860660175425,1650.0,-5.2780103343430085,-11.831897432049933,68.4,92.62890274050633,5.2,27.5,76.58717684754274,85.0,21.532269251193483,81.1,-9.906254080439954,42.65023512628034,49.2,94.0,-14.60878926248929,89.4,81.2,73.27602012235673,72.42921542563744,73.04605511867845,28.586565768926953,60.99622045884497,27.7,67.72019029173144,24.63673550403745,38.8,80.53875101374084,66.77974814939458,8.528177158295582,19.5691165199807,-9.053012651839168,87.09120810224796
DeepSeek-V3.2,67.16250665009046,73.15540694888358,93.0,93.1,58.65610381452396,25.892144664282306,98.5555135592282,46.930076397814204,51.4,96.67,1475.1579114773667,83.75,2386.0,6.242831568059812,8.0,82.4,105.33163563211478,25.1,92.5,90.0,90.0,66.68469594938587,89.0,34.50758631160558,62.2,83.3,97.3,2.08,90.5,85.0,81.24744310653305,81.0,83.54135024589485,48.59093738944277,67.32201840887302,35.0,87.74,43.54711942596232,73.0,83.83149887449488,90.23399907715645,39.6,34.44035661852897,32.59554723955792,87.89561297213683
DeepSeek-V3.2-Speciale,60.839244352652635,70.57892995807616,96.0,96.0,88.86505018209957,45.71337833098595,115.41602028914473,43.28866507587438,75.54990362268117,99.17,1407.2198766328809,94.38,2701.0,11.300960597417063,35.815657122634946,85.7,107.8187968598403,30.6,99.2,93.33,91.5,86.59941951046129,88.0,83.3,70.35735068939827,88.7,98.0,9.38,90.9120210453986,87.5,81.7141117380381,75.63814982255572,88.13651572952345,55.17461181140297,68.15485846121317,56.69927189324828,89.15,51.19531811722923,76.0,81.42525770362828,97.74360785966189,50.65806726233249,38.9872835618899,51.937029831518736,85.71205739626367
Doubao Seed 2.0 Pro,64.88580223422198,67.94848901717177,98.3,98.3,96.45590868571306,49.95990308747635,112.63789256627726,40.32898644448065,77.3,97.64216069492649,1383.1372688809145,95.69735092286874,3020.0,10.42751901676692,37.29587530557042,88.9,110.49838838476516,40.0,106.583698045306,93.12145369296589,92.0,92.64024003134273,88.5,51.033658768209115,71.79075683510013,88.0,88.6007083399032,17.07415581089901,90.0,88.0,85.4,74.1975344172771,103.78680112509643,49.39477453824717,70.37933113579713,56.927017008507,91.75968275579655,53.17521522389276,76.5,77.08616629712553,96.85492366247915,55.8,32.395137971623505,56.800086772943196,89.5
EXAONE 4.0 32B,60.43170007684603,72.1813481610901,72.1,85.3,29.13449073523796,8.373742423988503,80.0,48.901356396148344,50.37323230714097,84.38487654943015,1428.4406794092579,66.47482047242633,1650.0,4.194466034467236,9.66370206532795,75.4,92.77718452561528,19.756518032887307,72.9,78.79443331291779,90.2,43.83328361707044,88.0,25.144693374424126,52.49388478449773,72.6,96.4,-1.6239521365318463,84.0,81.8,76.33257373180048,73.30178799219544,55.66521826317982,48.54139862408058,59.06735169849093,30.0,77.36248367626078,33.82896618048614,45.0,84.05057784335487,80.56286292055005,32.57914963340697,37.52093919714046,14.066043022829732,77.07502643267418
Falcon3-10B-Instruct,99.05066919265128,58.11868570816745,8.0,28.265562549501087,-49.01443227536332,-45.52974489642846,-5.663816553807105,40.18012495116487,-3.9282744546353676,53.0658961837347,1369.197762733709,29.436392363212462,1979.9435700340555,-20.600106924802482,-40.89906866331009,30.0,85.76577173152388,-30.151804896660572,-45.12536025419347,66.64364923652406,72.0,-5.218707654423344,78.17,-66.86754046122532,24.84654630998242,22.0,62.0,-30.180701950232233,73.1,42.5,57.842449429152985,60.062073510784664,116.8011880007526,-14.942413297669297,60.34085675346325,-4.666504697165752,44.422072379905806,10.885150219521693,14.872989382534453,58.37173498532488,36.22352657654982,-33.93888559933207,-21.156806849572355,-35.349918744579206,99.19755171922102
Gemini 2.0 Flash,72.92988181870349,66.7067567456742,73.3,64.75269452435984,15.163843623925235,1.0,50.0,45.9,37.14082506729007,76.21158234023773,1394.9407435069045,59.14240344953939,1962.5133616842356,-2.615988441241177,-1.858022611844414,74.2,92.89452247468078,7.1622127753683955,36.294689613426726,76.83513923408088,82.6,35.96807633660633,80.0,0.2580900013457801,46.604980947688304,45.2,83.9,-7.601286150244347,76.4,76.4,70.7,68.8948254384367,82.19696756533853,28.498017327679943,60.94678250537526,27.0,68.89964785330051,29.524313140611806,42.0,74.4331858319908,68.80781216265515,13.965434329963617,18.094132646243924,5.281668135520089,85.66264994813719
Gemini 2.5 Flash,67.66879851915664,70.07593258036388,88.0,72.0,33.3,2.5,83.9,46.435556620858094,48.191033988594185,83.33,1426.6466714908026,50.62,1995.0,1.1,7.9765777446589405,78.3,96.38991839237086,15.6,64.2,80.80885518430479,90.2,47.04782330652788,84.3,17.210141329237377,47.7,63.9,95.2,-2.0291368628097564,85.0,81.1,73.5,72.36997749516354,75.00457992843363,39.96704075254622,62.213352738298404,28.1,75.47,34.77582740658569,63.8,79.82396812097235,78.28367665571173,16.9,16.8,15.660299840653465,83.81303494096714
Gemini 2.5 Pro,70.0,71.8541284115851,92.0,86.7,41.0,4.9,90.8,47.40287971835957,55.100188621773455,90.0,1437.0,58.13,2001.0,2.0,5.0,84.0,98.05187602473784,18.8,82.5,66.67,89.1535968371553,52.3,90.8,31.55,58.3,70.4,97.3,0.5,89.8,85.6,81.7,74.19536136044313,83.1,47.24109157910271,62.4,52.9,84.91,37.973783247666915,63.8,82.87187520582872,83.98567302517269,32.6,25.3,24.0,84.8
Gemini 3 Flash,55.92203335474271,76.00147948118419,93.0,90.4,84.7,33.6,116.51672001275955,49.38524586790642,75.0,100.0,1473.0,90.62,2100.0,11.57688016061034,30.0,90.4,103.2649870534612,33.7,103.30046911136905,93.33,95.31664737287213,71.98255423559763,88.2,53.7891544208243,72.4,90.8,103.16156533782619,15.62,91.8,88.59,87.63,81.2,61.17310777367355,50.0,64.5677192989361,60.0,92.92,34.63,78.0,82.0,97.8895512575913,51.7,49.13912463646744,39.25950468616911,86.9
Gemini 3 Pro,63.311469701591754,75.68232710260699,97.0,95.0,75.0,31.1,115.06176991454045,47.925414453886624,85.9,98.33,1501.0,90.0,2512.0,9.1,38.0,91.9,109.54931212059086,37.5,97.5,93.33,93.0,79.17245267323761,90.0,50.089032139985,73.4,79.7,97.3,23.4,91.8,89.8,87.51,81.0,77.0,55.0,69.23409081384266,72.1,93.4,43.3,76.2,88.5,99.3,56.9,42.39268555257835,44.04247804617687,87.6
Gemini 3.1 Pro,57.0,75.88931338443221,98.0,100.0,90.0,77.1,128.7685651272373,46.995904887392584,85.9,105.26074197981858,1490.0,99.39006080836882,2700.0,17.7,40.0,94.3,112.63299216676681,44.4,121.16026029645059,96.34785973905429,95.0,92.47129898508248,89.2,64.15160916973645,75.34776444415915,82.0,98.5,33.5,92.6,89.5,87.5,80.5,84.9,72.0,79.6,72.1,99.01448120325247,54.2,80.6,90.5,106.0725821249081,68.5,47.46228498974257,56.56330056446959,86.7180647081298
Gemma 3 27B,77.70822757432452,61.9008018357796,22.0,54.38458227993201,1.0199402108574507,-11.373769231488106,69.9,41.39009944372105,26.217552443044337,68.1103535147316,1338.0,50.71762911380103,1974.094180437077,-7.025298299559914,-10.801508470800247,42.4,92.3,-2.0379474367247568,15.456009003135582,72.25196166033601,87.8,26.29972282137277,78.0,-16.39953170050486,40.20900496574116,29.7,78.0,-12.405496930623094,76.9,67.5,65.12043414929367,64.22453259206192,91.28908768557986,15.898565578602646,59.31842605596527,22.0,60.75058837298746,24.55061911290284,32.0,67.20872642789041,58.58495166364792,1.437322360138571,6.653101544367265,-3.5198924039915105,87.08329765741817
GLM-4.6,61.6128650612506,70.17150802346617,82.9031641993235,80.0,43.47231345607414,17.22201313370188,89.5366264571774,46.190053829989004,54.971097987922384,86.11047544145974,1402.000101395125,72.09393136638901,1967.3566559050269,5.1756476686165165,15.223333137713684,85.7,95.94409069654648,24.8,71.62930436191525,81.1941312517782,82.0,54.141095576946306,82.0,29.348625615511583,56.057096831637026,70.0,94.01391212883318,2.3276053703334054,85.0,80.0,76.20779625447884,72.52314927674628,67.76699396087646,47.056191571367926,61.19887269902598,41.04616830741507,79.40144257427639,37.68195203349136,68.0,81.04779002087157,82.80776464489807,24.5,34.80756471379726,23.215856106785182,79.81483964819647
GLM-4.7,56.962545521974455,74.08589394836923,96.47801625190147,95.7,57.569377627660906,26.597397381084853,106.5338196035276,48.63435592866667,65.0,93.31233757224884,1445.0,80.00015715555296,1973.2797480005613,9.317649825828205,20.0,85.7,99.5315171223091,42.8,97.1,85.21922849297415,91.96606962755496,63.692453573940675,89.1542263869623,44.987312409170485,58.1,84.9,100.39074165915115,7.103030522830008,90.1,86.0,81.04437207508657,76.40418588041304,60.01578606663362,58.35793614659945,62.56805025256642,32.0,86.709450906519,42.420648485748416,73.8,87.06172479257138,92.03702795294225,33.4,44.995703962281794,32.02773743383547,78.31288135993942
GPT-4.1,77.05510573174229,72.18741525416013,46.5,46.4,5.5,0.4,61.5,49.41912420441391,34.19148673498159,78.61119357580912,1500.6419783050917,56.96680375119906,1807.0,-4.149472015871585,-7.915856643941604,66.3,95.5238523344708,3.7,19.4,79.07276058484054,92.0,28.020193626637962,87.4,-5.331774662027448,45.68505486411702,44.7,92.4,-12.131160870665951,90.2,81.8,74.8,73.43759593782404,80.0,30.206991775200713,62.74553946593155,42.3,70.55121083514395,27.42210564142854,54.6,81.0132197403578,70.03718071971247,11.60204845751263,30.3,-3.491375335825621,88.83600420737848
GPT-4.1 mini,81.32950853042608,66.67950665164089,49.37261893134523,57.02140827951706,3.5,0.0,28.2,48.9,27.60086330759026,72.48970569971972,1430.7967806238264,52.93010406626332,1990.9975642774405,-7.2267435052166995,-12.099589356440518,55.0,93.4563753004179,-2.2053039693523466,16.489745535394434,76.26150748928933,90.0,25.798596767605837,84.1,-16.72093829173788,42.202848300782776,45.119595977468855,86.42309192457061,-13.782833023002656,86.0,67.2565621175072,71.1,68.74697043133081,91.8687608724609,18.731735644456364,62.314955802089436,20.0,64.6104025225664,25.378639853373397,41.0816400944685,72.8791495072113,62.49450758646436,2.3314513821364877,9.1887226561186,-5.506520902862133,91.16216346565702
GPT-4.1 nano,81.19898153731033,59.98816130962734,38.10339560744663,49.24691940384647,0.0,0.0,10.7,40.16262067941082,20.46772215328664,64.41722131163039,1322.4077129535553,46.60544702829976,1999.2492719330737,-9.536132564120336,-15.895642161752882,50.3,87.47843338727901,-7.151634538091359,4.1100300399483025,70.52901828381096,78.0,21.174820989020823,75.0,-25.775626101912145,37.114402428471664,37.545619129376796,76.45529661514142,-15.227792499834635,80.1,59.32403985751977,62.752911611624704,62.39874922803521,97.17764354027227,9.180696959897203,59.073516153031576,14.290099232011775,56.944154385016446,22.055690544354718,33.85445001982474,64.04019329733643,53.61342832156776,-5.445810909790969,0.4800582398985699,-8.494235955402727,88.81989779846539
GPT-4.5,76.72697553277747,68.74750692225821,36.7,64.07023489096319,10.3,0.8,51.4,46.16869919956825,35.40999560772608,77.224177622043,1444.2690843504834,58.66459937586788,1986.0213450633973,-3.86944753096409,-4.923795175055589,71.4,95.18874197603448,4.766951124142815,31.834500816764443,78.51722568361971,86.6,33.401991308254445,86.5,-4.156525187816774,46.44240270923671,51.85963413259792,90.06087782053217,-9.696684496968029,89.6,74.3,72.45173907772082,70.8254243659456,85.28413301748284,27.179747818682667,62.67760825856924,62.5,69.54556399406776,28.92293292443954,38.0,76.44446885984632,68.95811231859949,11.408789270395719,16.83371684725233,1.8701526689663597,88.95430554781807
GPT-5,68.0,75.6,94.6,94.6,65.7,9.9,100.86817030312498,45.634605912466924,54.9,91.67,1460.0,90.0,2537.0,5.7,25.2,88.4,106.84638435795117,35.2,88.3,89.17,94.0,71.91579780041629,90.0,38.1,70.5,84.5,99.4,1.04,91.0,87.0,84.2,76.41343606149353,89.03498442205377,40.0,61.6,55.0,91.98,41.78,74.9,82.46550535155563,97.0,35.2,41.3,37.28613652418342,89.05482354324178
GPT-5.1,55.745473468354014,75.0,101.17523222644466,94.0,72.8,17.6,112.36336326885748,49.573577188150324,60.0,93.33,1464.0,91.88,1986.7177722010238,10.67039060637883,31.0,88.1,101.10382942961716,32.0,97.8086275865708,91.67,93.83441241807144,67.07320896080522,90.74150784994261,50.14048282653109,64.15444381229571,82.0,99.0,1.04,90.0,87.5,84.2,85.4,57.95489407151646,62.138499037409915,63.2791168233828,55.0,91.04,45.0,76.3,89.27902186551424,95.34432912098242,47.6,48.35745296976465,35.033109700030145,78.19149098966892
GPT-5.2,70.0,75.7,100.0,100.0,90.5,52.9,114.75127231082085,43.930807705343945,77.9,98.33,1440.0,91.25,2800.0,11.6,40.3,93.2,110.47936532659492,35.2,99.4,95.83,95.0,87.25149522549513,95.0,51.44196857537056,71.18758938232021,80.0,99.4,13.54,88.0,86.7,86.67,86.5,70.0,38.2,70.08292145350242,58.0,91.98,55.6,80.0,88.0,98.7,54.0,37.411373340844214,51.61719586631869,90.5
