model_name,AIME 2024,AIME 2025,ARC-AGI-1,ARC-AGI-2,Arena-Hard Auto,BrowseComp,BRUMO 2025,Chatbot Arena Elo,CMIMC 2025,Codeforces Rating,FrontierMath,GPQA Diamond,HLE (Humanity's Last Exam),HMMT Feb 2025,HumanEval,IFEval,LiveCodeBench,MATH-500,MathArena Apex 2025,MMLU,MMLU-Pro,MMMU,OSWorld,SimpleQA,SMT 2025,SWE-bench Pro,SWE-bench Verified,Terminal-Bench 2.0,Terminal-Bench 1.0
Gemini 2.0 Flash,73.3,80.394,46.129999999999995,1.0,50.0,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,74.2,25.5028947368421,67.71724137931035,82.6,80.0,45.2,83.9,7.753125,76.4,76.4,70.7,52.42631578947368,27.0,85.11368421052632,41.94842105263158,42.0,40.48571428571428,28.31111111111111
Gemini 2.5 Flash,88.0,72.0,33.3,2.5,83.9,68.24375,83.33,1428.7916666666667,50.62,1995.0,22.295454545454547,78.3,15.6,64.2,90.2,84.3,63.9,95.2,7.753125,85.0,81.1,73.5,52.42631578947368,28.1,75.47,41.94842105263158,63.8,16.9,16.8
Gemini 2.5 Pro,92.0,86.7,41.0,4.9,90.8,68.24375,90.0,1437.0,58.13,2001.0,5.0,84.0,18.8,82.5,87.3465,90.8,70.4,97.3,0.5,89.8,85.6,81.7,52.42631578947368,52.9,84.91,41.94842105263158,63.8,32.6,25.3
Gemini 3 Flash,93.0,90.4,84.7,33.6,67.62727272727273,75.0,100.0,1473.0,90.62,2100.0,30.0,90.4,33.7,67.71724137931035,87.3465,88.2,90.8,93.96101694915255,15.62,91.8,88.59,87.63,50.0,60.0,92.92,34.63,78.0,51.7,28.31111111111111
Gemini 3 Pro,97.0,95.0,75.0,31.1,67.62727272727273,85.9,98.33,1501.0,90.0,2512.0,38.0,91.9,37.5,97.5,93.0,90.0,79.7,97.3,23.4,91.8,89.8,87.51,55.0,72.1,93.4,43.3,76.2,56.9,28.31111111111111
Gemini 3.1 Pro,98.0,100.0,90.0,77.1,67.62727272727273,85.9,91.97263157894737,1490.0,81.87705882352941,2700.0,40.0,94.3,44.4,67.71724137931035,95.0,89.2,82.0,98.5,33.5,92.6,89.5,87.5,72.0,72.1,85.11368421052632,54.2,80.6,68.5,28.31111111111111
Gemma 3 27B,22.0,80.394,46.129999999999995,17.54516129032258,69.9,68.24375,91.97263157894737,1338.0,81.87705882352941,2042.891304347826,22.295454545454547,42.4,25.5028947368421,67.71724137931035,87.8,78.0,29.7,78.0,7.753125,76.9,67.5,79.20392857142858,52.42631578947368,22.0,85.11368421052632,41.94842105263158,32.0,40.48571428571428,28.31111111111111
GLM-4.6,74.30754716981131,80.0,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,85.7,24.8,67.71724137931035,82.0,82.0,70.0,93.96101694915255,7.753125,85.0,80.0,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,68.0,24.5,28.31111111111111
GLM-4.7,74.30754716981131,95.7,46.129999999999995,17.54516129032258,67.62727272727273,65.0,91.97263157894737,1445.0,81.87705882352941,2042.891304347826,20.0,85.7,42.8,97.1,87.3465,86.22666666666666,84.9,93.96101694915255,7.753125,90.1,86.0,79.20392857142858,52.42631578947368,32.0,85.11368421052632,41.94842105263158,73.8,33.4,28.31111111111111
GPT-4.1,46.5,46.4,5.5,0.4,61.5,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1807.0,22.295454545454547,66.3,3.7,19.4,92.0,87.4,44.7,92.4,7.753125,90.2,81.8,74.8,52.42631578947368,42.3,85.11368421052632,41.94842105263158,54.6,40.48571428571428,30.3
GPT-4.5,36.7,80.394,10.3,0.8,51.4,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,71.4,25.5028947368421,67.71724137931035,86.6,86.5,64.09703125,93.96101694915255,7.753125,89.6,74.3,79.20392857142858,52.42631578947368,62.5,85.11368421052632,41.94842105263158,38.0,40.48571428571428,28.31111111111111
GPT-5,94.6,94.6,65.7,9.9,67.62727272727273,54.9,91.67,1460.0,90.0,2537.0,25.2,88.4,35.2,88.3,94.0,90.0,84.5,99.4,1.04,91.0,87.0,84.2,40.0,55.0,91.98,41.78,74.9,35.2,41.3
GPT-5.1,74.30754716981131,94.0,72.8,17.6,67.62727272727273,60.0,93.33,1464.0,91.88,2042.891304347826,31.0,88.1,32.0,67.71724137931035,87.3465,86.22666666666666,82.0,99.0,1.04,90.0,87.5,84.2,52.42631578947368,55.0,91.04,45.0,76.3,47.6,28.31111111111111
GPT-5.2,100.0,100.0,90.5,52.9,67.62727272727273,77.9,98.33,1440.0,91.25,2800.0,40.3,93.2,35.2,99.4,95.0,95.0,80.0,99.4,13.54,88.0,86.7,86.67,38.2,58.0,91.98,55.6,80.0,54.0,28.31111111111111
GPT-5.3-Codex,74.30754716981131,94.0,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,81.0,25.5028947368421,67.71724137931035,93.0,92.0,85.0,96.0,7.753125,94.0,78.68968749999999,84.0,64.7,38.55416666666667,85.11368421052632,56.8,56.8,64.7,28.31111111111111
gpt-oss-120B,96.6,97.9,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2620.0,22.295454545454547,80.9,25.5028947368421,67.71724137931035,92.0,88.0,75.0,98.0,7.753125,90.0,90.0,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,62.4,18.7,28.31111111111111
gpt-oss-20B,98.7,98.7,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1985.0,22.295454545454547,71.5,25.5028947368421,67.71724137931035,85.0,85.0,70.0,97.0,7.753125,85.3,85.3,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,52.0,3.1,28.31111111111111
Grok 3 Beta,93.3,93.3,5.5,0.0,67.62727272727273,68.24375,91.97263157894737,1402.0,81.87705882352941,2042.891304347826,22.295454545454547,84.6,18.2,67.71724137931035,87.3,84.0,79.4,99.2,7.753125,88.0,79.9,79.20392857142858,52.42631578947368,31.0,85.11368421052632,41.94842105263158,48.5,40.48571428571428,17.5
Grok 4,94.0,90.6,66.6,15.9,67.62727272727273,68.24375,95.0,1465.0,83.75,2708.0,13.0,88.0,24.0,90.0,88.0,89.2,79.4,98.0,2.08,94.0,87.0,75.0,48.0,48.0,85.85,46.5,73.5,23.1,39.0
Grok 4.1,74.30754716981131,94.0,46.129999999999995,42.0,67.62727272727273,68.24375,97.5,1483.0,84.38,2650.0,38.0,91.0,44.4,67.71724137931035,95.0,91.0,82.0,98.5,5.21,86.33401639344262,85.3,79.20392857142858,52.0,55.0,84.6,41.94842105263158,79.0,40.48571428571428,28.31111111111111
Kimi K2,69.6,49.5,46.129999999999995,17.54516129032258,54.5,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1780.0,22.295454545454547,75.1,4.7,38.8,85.0,89.8,53.7,97.4,7.753125,89.5,87.1,79.20392857142858,38.0,31.0,85.11368421052632,27.67,65.8,27.8,28.31111111111111
Kimi K2 Thinking,94.0,94.5,12.0,17.54516129032258,67.62727272727273,60.2,93.33,1428.7916666666667,91.88,2150.0,22.295454545454547,85.7,44.9,89.4,92.0,86.22666666666666,82.6,97.0,0.0,86.33401639344262,84.6,79.20392857142858,52.42631578947368,35.0,91.04,41.94842105263158,71.3,35.7,28.31111111111111
Kimi K2.5,96.1,96.0,65.3,35.0,67.62727272727273,74.9,98.33,1428.7916666666667,91.25,2350.0,28.0,87.6,50.2,95.4,95.0,90.0,85.0,98.0,8.85,92.0,87.1,84.0,62.0,45.0,90.57,41.94842105263158,76.8,43.2,28.31111111111111
Llama 4 Behemoth,72.0,80.394,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,73.7,25.5028947368421,67.71724137931035,85.0,86.0,49.4,95.0,7.753125,90.2,82.2,76.1,52.42631578947368,44.0,85.11368421052632,41.94842105263158,55.0,40.48571428571428,28.31111111111111
Llama 4 Maverick,52.0,80.394,4.4,0.0,73.5,68.24375,91.97263157894737,1417.0,81.87705882352941,2042.891304347826,22.295454545454547,69.8,25.5028947368421,67.71724137931035,82.0,84.0,43.4,88.1,7.753125,88.6,80.5,73.4,52.42631578947368,20.0,85.11368421052632,41.94842105263158,46.5,40.48571428571428,15.5
Llama 4 Scout,74.30754716981131,80.394,0.5,0.0,72.0,68.24375,91.97263157894737,1350.0,81.87705882352941,2042.891304347826,22.295454545454547,57.2,25.5028947368421,67.71724137931035,76.0,81.0,32.8,83.0,7.753125,88.5,74.3,69.4,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,61.84464285714286,40.48571428571428,28.31111111111111
MiniMax-M2,65.0,78.3,46.129999999999995,17.54516129032258,67.62727272727273,44.0,91.97263157894737,1408.0,81.87705882352941,1700.0,22.295454545454547,78.0,12.5,67.71724137931035,90.0,88.0,83.0,97.0,7.753125,87.0,82.0,75.0,52.42631578947368,40.0,85.11368421052632,32.0,69.4,30.0,42.0
Mistral Large 3,53.3,85.0,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,91.97263157894737,1418.0,81.87705882352941,1550.0,22.295454545454547,43.9,25.5028947368421,67.71724137931035,92.0,86.0,66.0,93.6,7.753125,85.5,73.11,79.20392857142858,52.42631578947368,30.0,85.11368421052632,41.94842105263158,68.0,40.48571428571428,28.31111111111111
Mistral Medium 3,74.30754716981131,80.394,46.129999999999995,17.54516129032258,97.1,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,68.0,25.5028947368421,67.71724137931035,92.1,86.0,42.0,91.0,7.753125,87.0,72.0,79.20392857142858,52.42631578947368,25.0,85.11368421052632,41.94842105263158,32.0,40.48571428571428,28.31111111111111
Mistral Small 3.1,22.0,80.394,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,39.0,25.5028947368421,67.71724137931035,88.99,82.75,30.0,81.0,7.753125,80.62,66.76,79.20392857142858,52.42631578947368,18.0,85.11368421052632,41.94842105263158,28.0,40.48571428571428,28.31111111111111
Nemotron Ultra 253B,74.30754716981131,72.5,46.129999999999995,17.54516129032258,92.7,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1750.0,22.295454545454547,76.01,15.0,67.71724137931035,92.0,89.45,66.31,97.0,7.753125,87.0,76.0,79.20392857142858,52.42631578947368,35.0,85.11368421052632,41.94842105263158,48.0,40.48571428571428,28.31111111111111
o3 (high),96.7,88.9,75.7,6.5,85.9,49.7,95.83,1428.7916666666667,79.38,2706.0,10.0,87.7,19.78,77.5,88.4,92.1,75.8,99.2,7.753125,93.3,85.9,80.1,52.42631578947368,48.6,87.74,41.94842105263158,69.1,40.48571428571428,30.2
o3-mini (high),87.3,86.5,34.5,3.0,43.0,68.24375,91.97263157894737,1364.0,81.87705882352941,2130.0,11.0,79.7,13.0,50.0,97.6,88.0,74.1,97.9,7.753125,86.9,80.0,79.20392857142858,52.42631578947368,13.8,85.11368421052632,41.94842105263158,49.3,40.48571428571428,28.31111111111111
o4-mini (high),93.4,92.7,58.7,6.1,79.1,68.24375,86.67,1428.7916666666667,84.38,2719.0,17.0,81.4,18.9,66.7,98.5,92.4,80.2,98.2,7.753125,90.3,81.9,79.7,52.42631578947368,19.3,88.68,41.94842105263158,68.1,40.48571428571428,18.5
Phi-4,18.0,80.394,46.129999999999995,17.54516129032258,75.4,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,56.1,25.5028947368421,67.71724137931035,82.6,79.3,38.5,80.4,7.753125,84.8,68.0,79.20392857142858,52.42631578947368,15.0,85.11368421052632,41.94842105263158,61.84464285714286,40.48571428571428,28.31111111111111
Phi-4-reasoning-plus,70.0,77.7,46.129999999999995,17.54516129032258,79.0,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1500.0,22.295454545454547,69.3,25.5028947368421,53.6,88.0,82.0,68.8,96.4,7.753125,86.33401639344262,72.0,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,32.0,40.48571428571428,28.31111111111111
Qwen3-0.6B,10.7,15.1,46.129999999999995,17.54516129032258,8.5,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,800.0,22.295454545454547,27.9,25.5028947368421,67.71724137931035,45.0,59.2,12.3,77.6,7.753125,52.81,24.74,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,61.84464285714286,40.48571428571428,28.31111111111111
Qwen3-1.7B,48.3,36.8,46.129999999999995,17.54516129032258,43.1,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1200.0,22.295454545454547,40.1,25.5028947368421,67.71724137931035,60.0,72.5,33.2,93.4,7.753125,61.815,36.76,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,61.84464285714286,40.48571428571428,28.31111111111111
Qwen3-14B,75.0,72.0,46.129999999999995,17.54516129032258,85.5,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1900.0,22.295454545454547,64.0,25.5028947368421,67.71724137931035,85.0,86.22666666666666,55.0,95.0,7.753125,81.05,61.03,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,61.84464285714286,40.48571428571428,28.31111111111111
Qwen3-235B-A22B,85.7,81.5,11.0,1.3,95.6,68.24375,91.97263157894737,1410.0,81.87705882352941,2056.0,22.295454545454547,71.1,15.43,62.5,90.0,87.8,70.7,98.2,5.21,87.81,79.8,79.20392857142858,52.42631578947368,13.2,85.11368421052632,41.94842105263158,69.6,40.48571428571428,6.6
Qwen3-30B-A3B,78.0,85.0,46.129999999999995,17.54516129032258,91.0,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1974.0,22.295454545454547,65.8,25.5028947368421,71.4,82.0,88.9,66.0,96.0,7.753125,81.38,80.9,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,61.84464285714286,40.48571428571428,28.31111111111111
Qwen3-32B,81.4,76.67,46.129999999999995,17.54516129032258,53.3,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2020.0,22.295454545454547,68.4,25.5028947368421,67.71724137931035,85.0,83.0,63.0,96.0,7.753125,83.61,70.0,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,61.84464285714286,40.48571428571428,15.5
Qwen3-4B,73.8,65.6,46.129999999999995,17.54516129032258,13.2,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1671.0,22.295454545454547,51.2,25.5028947368421,55.5,75.0,87.4,55.2,97.0,7.753125,72.99,74.0,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,61.84464285714286,40.48571428571428,28.31111111111111
Qwen3-8B,76.0,67.3,46.129999999999995,17.54516129032258,76.0,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1850.0,22.295454545454547,63.3,25.5028947368421,67.71724137931035,82.0,80.0,48.0,94.0,7.753125,76.89,56.73,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,61.84464285714286,40.48571428571428,28.31111111111111
Qwen3.5-397B-A17B,94.0,95.0,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2200.0,22.295454545454547,88.4,32.0,67.71724137931035,92.0,92.6,83.6,98.0,7.753125,88.6,87.8,85.0,52.42631578947368,35.0,85.11368421052632,41.94842105263158,76.4,40.48571428571428,28.31111111111111
QwQ-32B,79.5,50.0,46.129999999999995,17.54516129032258,60.9,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,1316.0,22.295454545454547,65.2,25.5028947368421,47.5,78.0,80.0,50.0,90.6,7.753125,79.0,62.0,79.20392857142858,52.42631578947368,38.55416666666667,85.11368421052632,41.94842105263158,35.0,40.48571428571428,28.31111111111111
Seed-Thinking-v1.5,86.7,74.0,46.129999999999995,17.54516129032258,67.62727272727273,68.24375,91.97263157894737,1428.7916666666667,81.87705882352941,2042.891304347826,22.295454545454547,77.3,22.0,67.71724137931035,90.0,87.4,64.9,95.0,7.753125,87.0,87.0,79.20392857142858,52.42631578947368,35.0,85.11368421052632,41.94842105263158,52.0,40.48571428571428,28.31111111111111
