model_name,GPQA Diamond,AIME 2025,MMLU,MMLU-Pro,SWE-bench Verified,MATH-500,LiveCodeBench,FrontierMath,HLE (Humanity's Last Exam),ARC-AGI-2,BrowseComp,SimpleQA,IFEval,HumanEval,Codeforces Rating,OSWorld,MMMU,MMMU-Pro,Arena-Hard Auto,Chatbot Arena Elo,SWE-bench Pro,AIME 2024,HMMT Feb 2025,Tau-Bench Retail,Tau-Bench Telecom,Video-MMU,MRCR v2,AA Intelligence Index,AA Long Context Reasoning,CritPt,SciCode,MathVision,GDP-Val AA,GSM8K,IFBench,Terminal-Bench 2.0,Terminal-Bench 1.0,ARC-AGI-1,BRUMO 2025,SMT 2025,USAMO 2025,HMMT Nov 2025,CMIMC 2025,IMO 2025,AIME 2026,MathArena Apex 2025,LiveBench,SimpleBench,BigCodeBench
Claude Sonnet 4.5,83.4,87.0,86.5,87.5,77.2,95.8,68.0,,19.8,13.6,,47.0,88.5,85.0,1480.0,61.4,77.8,63.4,,,43.6,88.0,79.2,86.2,98.0,,10.8,,,,,,,,,42.8,51.0,63.7,90.83,83.96,,,66.88,,,1.56,53.7,,
Claude Haiku 4.5,80.9,96.3,82.0,75.0,73.3,90.2,52.0,,,4.0,,,85.0,91.5,,50.7,,,,,39.45,,,,,,,,,,,,,,,28.3,,47.7,,,,,,,,,45.3,,
Claude Opus 4.5,87.0,92.8,90.8,80.0,80.9,85.0,68.0,21.0,37.6,37.6,67.8,72.0,90.0,95.1,2070.0,66.3,80.7,,,1468.0,45.89,90.0,92.9,88.9,98.2,68.4,,,75.0,,,,,,,57.8,,80.0,,,,,,,,,76.0,62.0,
Claude Opus 4.6,91.3,100.0,90.8,82.0,80.8,93.0,76.0,40.0,40.0,68.8,84.0,72.0,94.0,95.0,2650.0,72.7,77.0,77.3,,1502.0,55.6,,,91.9,98.2,,93.0,53.0,,12.6,,,1606.0,,,62.9,,94.0,,,,,,,,,,67.6,
Claude Sonnet 4.6,74.1,97.0,90.0,80.0,79.6,96.5,74.0,35.0,38.0,60.4,78.0,68.0,92.0,93.0,2010.0,72.5,74.2,74.5,,,48.2,,,89.0,97.0,,82.0,51.0,,,,,1633.0,,,59.1,,55.0,,,,,,,,,,,
Gemini 2.0 Flash,74.2,,76.4,76.4,42.0,83.9,45.2,,,1.0,,27.0,80.0,82.6,,,70.7,,50.0,,,73.3,,,,,,,,,,,,,,,,,,,,,,,,,,,45.9
Gemini 2.5 Pro,84.0,86.7,89.8,85.6,63.8,97.3,70.4,5.0,18.8,4.9,,52.9,90.8,,2001.0,,81.7,,90.8,1437.0,,92.0,82.5,,,84.8,83.1,70.0,,2.0,,,,,52.3,32.6,25.3,41.0,90.0,84.91,24.0,66.67,58.13,31.55,,0.5,58.3,62.4,
Gemini 2.5 Flash,78.3,72.0,85.0,81.1,63.8,95.2,63.9,,15.6,2.5,,28.1,84.3,90.2,1995.0,,73.5,,83.9,,,88.0,64.2,,,,,,,1.1,,,,,,16.9,16.8,33.3,83.33,75.47,,,50.62,,,,47.7,,
Gemma 3 27B,42.4,,76.9,67.5,32.0,78.0,29.7,,,,,22.0,78.0,87.8,,,,,69.9,1338.0,,22.0,,,,,,,,,,,,92.3,,,,,,,,,,,,,,,
Gemini 3 Pro,91.9,95.0,91.8,89.8,76.2,97.3,79.7,38.0,37.5,31.1,85.9,72.1,90.0,93.0,2512.0,55.0,87.51,81.0,,1501.0,43.3,97.0,97.5,88.5,99.3,87.6,77.0,,,9.1,56.1,,,,,56.9,,75.0,98.33,93.4,,93.33,90.0,,,23.4,73.4,,
Gemini 3 Flash,90.4,90.4,91.8,88.59,78.0,,90.8,30.0,33.7,33.6,75.0,60.0,88.2,,2100.0,50.0,87.63,81.2,,1473.0,34.63,93.0,,82.0,,86.9,,,,,,,,,,51.7,,84.7,100.0,92.92,,93.33,90.62,,,15.62,72.4,,
Gemini 3.1 Pro,94.3,100.0,92.6,89.5,80.6,98.5,82.0,40.0,44.4,77.1,85.9,72.1,89.2,95.0,2700.0,72.0,87.5,80.5,,1490.0,54.2,98.0,,90.5,,,84.9,57.0,,17.7,58.9,69.8,,,,68.5,,90.0,,,,,,,97.0,33.5,,79.6,
Llama 4 Scout,57.2,,88.5,74.3,,83.0,32.8,,,0.0,,,81.0,76.0,,,69.4,,72.0,1350.0,,,,,,,,,,,,,,90.6,,,,0.5,,,,,,,,,,,
Llama 4 Maverick,69.8,,88.6,80.5,46.5,88.1,43.4,,,0.0,,20.0,84.0,82.0,,,73.4,,73.5,1417.0,,52.0,,,,,,,,0.0,,,,,,,15.5,4.4,,,,,,,,,,,49.7
Llama 4 Behemoth,73.7,,90.2,82.2,55.0,95.0,49.4,,,,,44.0,86.0,85.0,,,76.1,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grok 3 Beta,84.6,93.3,88.0,79.9,48.5,99.2,79.4,,18.2,0.0,,31.0,84.0,87.3,,,,,,1402.0,,93.3,,,,,,,,,,,,,,,17.5,5.5,,,,,,,,,,,
Grok 4,88.0,90.6,94.0,87.0,73.5,98.0,79.4,13.0,24.0,15.9,,48.0,89.2,88.0,2708.0,48.0,75.0,59.2,,1465.0,46.5,94.0,90.0,,,,,73.0,68.0,,,,,,,23.1,39.0,66.6,95.0,85.85,61.9,88.33,83.75,11.9,,2.08,,,
Grok 4.1,91.0,94.0,,85.3,79.0,98.5,82.0,38.0,44.4,42.0,,55.0,91.0,95.0,2650.0,52.0,,81.0,,1483.0,,,,,,87.6,,,,,,,,,,,,,97.5,84.6,,93.33,84.38,,,5.21,60.0,,
DeepSeek-R1,71.5,70.0,90.8,84.0,49.2,97.3,65.9,,8.5,1.3,,30.1,83.3,96.1,2029.0,,,,92.3,1382.0,,79.8,41.7,,,,,,,1.1,,,,97.3,38.0,,5.7,15.0,80.83,66.51,4.76,,,,,,,,
DeepSeek-V3,59.1,39.2,88.5,75.9,42.0,90.2,39.2,,,,,24.9,86.1,65.2,1134.0,,,,85.5,1382.0,,39.2,,,,,,,,,,,,89.3,,,,,,,,,,,,,,,50.0
DeepSeek-V3-0324,68.4,46.7,89.4,81.2,38.8,94.0,49.2,,5.2,,,27.7,81.1,85.0,1650.0,,,,39.9,,,59.4,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-0528,81.0,87.5,90.8,85.0,57.6,97.3,73.1,10.0,17.7,1.1,,27.8,79.1,85.6,1930.0,,,,,1420.0,,91.4,79.4,,,,,,,,,,,,,,,21.2,92.5,83.02,30.06,,69.38,6.85,,1.04,,,
DeepSeek-R1-Distill-Qwen-32B,62.1,72.6,,,,94.3,57.2,,,,,,,82.0,1691.0,,,,,,,72.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-14B,59.1,,,,,93.9,53.1,,,,,,,,1481.0,,,,,,,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-7B,49.1,,,,,92.8,37.6,,,,,,,,1189.0,,,,,,,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-1.5B,33.8,22.8,,,,83.9,15.049999999999999,,,,,,39.9,,954.0,,,,4.5,,,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Llama-8B,49.0,27.8,,,,89.1,41.05,,,,,,59.0,,1205.0,,,,17.6,,,50.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-R1-Distill-Llama-70B,65.2,70.0,86.0,,,94.5,57.5,,,,,,,80.0,1633.0,,,,,,,70.0,33.3,,,,,,,,,,,,,,,,,,,,,,,,,,
DeepSeek-V3.2,82.4,93.1,90.5,85.0,73.0,97.3,83.3,8.0,25.1,,51.4,35.0,89.0,90.0,2386.0,,,81.0,,,,93.0,92.5,,,,,,,,,,,,,39.6,,,96.67,87.74,,90.0,83.75,,,2.08,62.2,,
DeepSeek-V3.2-Speciale,85.7,96.0,,87.5,76.0,98.0,88.7,,30.6,,,,88.0,91.5,2701.0,,,,,,,96.0,99.2,,,,,,,,,,,,,,,,99.17,89.15,,93.33,94.38,83.3,,9.38,,,
Qwen3-235B-A22B,71.1,81.5,87.81,79.8,69.6,98.2,70.7,,15.43,1.3,,13.2,87.8,90.0,2056.0,,,,95.6,1410.0,,85.7,62.5,,,,,,67.0,,,,,94.39,,,6.6,11.0,,,,,,,,5.21,,,
Qwen3-32B,68.4,76.67,83.61,70.0,,96.0,63.0,,,,,,83.0,85.0,2020.0,,,,53.3,,,81.4,,,,,,,,,,,,93.4,37.3,,15.5,,,,,,,,,,,,
Qwen3-4B,51.2,65.6,72.99,74.0,,97.0,55.2,,,,,,87.4,75.0,1671.0,,,,13.2,,,73.8,55.5,,,,,,,,,,,87.79,,,,,,,,,,,,,,,
Qwen3-0.6B,27.9,15.1,52.81,24.74,,77.6,12.3,,,,,,59.2,45.0,800.0,,,,8.5,,,10.7,,,,,,,,,,,,59.59,,,,,,,,,,,,,,,
Qwen3-1.7B,40.1,36.8,61.815,36.76,,93.4,33.2,,,,,,72.5,60.0,1200.0,,,,43.1,,,48.3,,,,,,,,,,,,75.44,,,,,,,,,,,,,,,
Qwen3-8B,63.3,67.3,76.89,56.73,,94.0,48.0,,,,,,80.0,82.0,1850.0,,,,76.0,,,76.0,,,,,,,,,,,,89.84,35.0,,,,,,,,,,,,,,
Qwen3-14B,64.0,72.0,81.05,61.03,,95.0,55.0,,,,,,,85.0,1900.0,,,,85.5,,,75.0,,,,,,,,,,,,92.49,,,,,,,,,,,,,,,
Qwen3-30B-A3B,65.8,85.0,81.38,80.9,,96.0,66.0,,,,,,88.9,82.0,1974.0,,,,91.0,,,78.0,71.4,,,,,,,,,,,91.81,,,,,,,,,,,,,,,
QwQ-32B,65.2,50.0,79.0,62.0,35.0,90.6,50.0,,,,,,80.0,78.0,1316.0,,,,60.9,,,79.5,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,44.6
Qwen3.5-397B-A17B,88.4,95.0,88.6,87.8,76.4,98.0,83.6,,32.0,,,35.0,92.6,92.0,2200.0,,85.0,,,,,94.0,,,,,,,,,,90.3,,,76.5,,,,,,,,,,91.3,,,,
Kimi K2,75.1,49.5,89.5,87.1,65.8,97.4,53.7,,4.7,,,31.0,89.8,85.0,1780.0,38.0,,,54.5,,27.67,69.6,38.8,,,,,,,,,,,,,27.8,,,,,,,,,,,,,
Kimi K2 Thinking,85.7,94.5,,84.6,71.3,97.0,82.6,,44.9,,60.2,35.0,,92.0,2150.0,,,,,,,94.0,89.4,,,,,,,,,,,,,35.7,,12.0,93.33,91.04,,89.17,91.88,,,0.0,,,
Kimi K2.5,87.6,96.0,92.0,87.1,76.8,98.0,85.0,28.0,50.2,35.0,74.9,45.0,90.0,95.0,2350.0,62.0,84.0,78.5,,,,96.1,95.4,,,86.6,,,,,,84.2,,,,43.2,,65.3,98.33,90.57,,89.17,91.25,,,8.85,,,
GLM-4.6,85.7,80.0,85.0,80.0,68.0,,70.0,,24.8,,,,82.0,82.0,,,,,,,,,,,,,,,,,,,,,,24.5,,,,,,,,,,,,,
GLM-4.7,85.7,95.7,90.1,86.0,73.8,,84.9,20.0,42.8,,65.0,32.0,,,,,,,,1445.0,,,97.1,,,,,,,,,,,,,33.4,,,,,,,,,,,58.1,,
Doubao Seed 2.0 Pro,88.9,98.3,90.0,88.0,76.5,,88.0,,40.0,,77.3,,88.5,92.0,3020.0,,85.4,,,,,98.3,,,,89.5,,,,,,88.8,,,,55.8,,,,,,,,,,,,,
Mistral Small 3.1,39.0,,80.62,66.76,28.0,81.0,30.0,,,,,18.0,82.75,88.99,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral Medium 3,68.0,,87.0,72.0,32.0,91.0,42.0,,,,,25.0,86.0,92.1,,,,,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mistral Large 3,43.9,85.0,85.5,73.11,68.0,93.6,66.0,,,,,30.0,86.0,92.0,1550.0,,,,,1418.0,,53.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Codestral 25.01,,,,,,74.0,37.9,,,,,,,86.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devstral 2,,,,,72.2,,60.0,,,,,,,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi-4,56.1,,84.8,68.0,,80.4,38.5,,,,,15.0,79.3,82.6,,,,,75.4,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5
Phi-4-reasoning,63.4,71.4,,,,95.0,53.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi-4-reasoning-plus,69.3,77.7,,72.0,32.0,96.4,68.8,,,,,,82.0,88.0,1500.0,,,,79.0,,,70.0,53.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Nemotron Ultra 253B,76.01,72.5,87.0,76.0,48.0,97.0,66.31,,15.0,,,35.0,89.45,92.0,1750.0,,,,92.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Nova Pro,46.9,,85.9,,,74.0,,,,,,,80.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazon Nova Premier,55.0,,87.4,,42.4,82.0,,,,,,,82.0,80.0,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Command A,45.0,,85.5,63.5,38.0,80.0,28.0,,,,,32.0,84.3,82.9,,,,,72.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,33.8
EXAONE 4.0 32B,75.4,85.3,84.0,81.8,45.0,96.4,72.6,,,,,30.0,88.0,90.2,1650.0,,,,80.0,,,72.1,72.9,,,,,,,,,,,,,,,,,,,,,,,,,,
MiniMax-M2,78.0,78.3,87.0,82.0,69.4,97.0,83.0,,12.5,,44.0,40.0,88.0,90.0,1700.0,,75.0,,,1408.0,32.0,65.0,,,,,,61.0,,,,,,,,30.0,42.0,,,,,,,,,,,,
OLMo 2 13B,25.0,,67.5,35.1,,38.0,18.0,,,,,,68.0,55.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFM2.5-1.2B-Thinking,37.86,31.73,52.0,49.65,,87.96,22.0,,,,,,88.42,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phi-4-mini,30.4,,67.3,52.8,,75.0,28.0,,,,,,72.0,74.4,,,,,,,,,,,,,,,,,,,,88.6,,,,,,,,,,,,,,,
Falcon3-10B-Instruct,30.0,,73.1,42.5,,62.0,22.0,,,,,,78.17,72.0,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
InternLM3-8B-Instruct,37.4,,76.6,52.0,,83.0,32.0,,,,,,79.3,82.3,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seed-Thinking-v1.5,77.3,74.0,87.0,87.0,52.0,95.0,64.9,,22.0,,,35.0,87.4,90.0,,,,,,,,86.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
